Year,Month,Category,Material Type,Weight (lbs)
2022,May,Landfill,L-Landfill,"13,920"
2022,May,Landfill,L-Landfill,"15,140"
2022,May,Landfill,L-Landfill,"13,320"
2022,May,Landfill,L-Landfill,"14,280"
2022,May,Landfill,L-Landfill,"16,540"
2022,May,Landfill,L-Landfill,"11,900"
2022,May,Landfill,L-Landfill,"13,680"
2022,May,Recycle,R-Mixed recycling,"7,640"
2022,May,Recycle,R-Mixed recycling,"6,980"
2022,May,Recycle,R-Mixed recycling,"5,200"
2022,May,Recycle,R-Mixed recycling,"7,400"
2022,May,Recycle,R-Mixed recycling,"7,640"
2022,May,Recycle,R-Mixed recycling,"9,040"
2022,May,Recycle,R-Mixed recycling,"8,660"
2022,May,Recycle,R-Mixed recycling,"7,320"
2022,May,Recycle,R-Mixed recycling,"4,780"
2022,Sep,Compost,C-Yardwaste,"6,880"
2022,Sep,Compost,C-Yardwaste,"5,060"
2022,Sep,Compost,C-Yardwaste,"6,500"
2022,Sep,Compost,C-Yardwaste,"7,480"
2022,Sep,Landfill,L-Landfill,"5,200"
2022,Sep,Landfill,L-Landfill,"6,740"
2022,Sep,Landfill,L-Landfill,"19,540"
2022,Sep,Landfill,L-Landfill,"8,100"
2022,Sep,Landfill,L-Landfill,"8,120"
2022,Sep,Landfill,L-Landfill,"8,100"
2022,Sep,Landfill,L-Landfill,"11,020"
2022,Sep,Landfill,L-Landfill,"13,580"
2022,Sep,Landfill,L-Landfill,"15,040"
2022,Sep,Landfill,L-Landfill,"13,300"
2022,Sep,Recycle,R-Mixed recycling,"12,440"
2022,Sep,Recycle,R-Mixed recycling,"6,280"
2022,Sep,Recycle,R-Mixed recycling,"7,280"
2022,Sep,Recycle,R-Mixed recycling,"11,740"
2022,Sep,Recycle,R-Mixed recycling,"11,080"
2022,Sep,Recycle,R-Mixed recycling,"10,940"
2022,Sep,Recycle,R-Mixed recycling,"9,340"
2022,Sep,Recycle,R-Mixed recycling,"7,760"
2022,Oct,Compost,C-Yardwaste,"12,660"
2022,Oct,Compost,C-Yardwaste,"13,200"
2022,Oct,Compost,C-Yardwaste,"9,620"
2022,Oct,Compost,C-Yardwaste,"9,400"
2022,Oct,Landfill,L-Landfill,"14,740"
2022,Oct,Landfill,L-Landfill,"15,280"
2022,Oct,Landfill,L-Landfill,"16,520"
2022,Oct,Landfill,L-Landfill,"16,260"
2022,Oct,Landfill,L-Landfill,"15,260"
2022,Oct,Landfill,L-Landfill,"15,200"
2022,Oct,Landfill,L-Landfill,"15,520"
2022,Oct,Landfill,L-Landfill,"14,000"
2022,Oct,Landfill,L-Landfill,"6,720"
2022,Oct,Recycle,R-Mixed recycling,"8,760"
2022,Oct,Recycle,R-Mixed recycling,"9,740"
2022,Oct,Recycle,R-Mixed recycling,"8,620"
2022,Oct,Recycle,R-Mixed recycling,"9,880"
2022,Oct,Recycle,R-Mixed recycling,"6,780"
2022,Oct,Recycle,R-Mixed recycling,"8,240"
2022,Oct,Recycle,R-Mixed recycling,"5,240"
2022,Oct,Recycle,R-Mixed recycling,"8,060"
2022,Oct,Recycle,R-Mixed recycling,"14,260"
2022,Nov,Compost,C-Yardwaste,"13,160"
2022,Nov,Compost,C-Yardwaste,"12,200"
2022,Nov,Landfill,L-Landfill,"20,260"
2022,Nov,Landfill,L-Landfill,"15,840"
2022,Nov,Landfill,L-Landfill,"15,700"
2022,Nov,Landfill,L-Landfill,"14,720"
2022,Nov,Landfill,L-Landfill,"15,740"
2022,Nov,Landfill,L-Landfill,"13,640"
2022,Nov,Landfill,L-Landfill,"13,320"
2022,Nov,Recycle,R-Mixed recycling,"9,500"
2022,Nov,Recycle,R-Mixed recycling,"9,400"
2022,Nov,Recycle,R-Mixed recycling,"6,060"
2022,Nov,Recycle,R-Mixed recycling,"9,300"
2022,Nov,Recycle,R-Mixed recycling,"6,540"
2022,Nov,Recycle,R-Mixed recycling,"4,900"
2022,Dec,Compost,C-Yardwaste,"9,240"
2022,Dec,Compost,C-Yardwaste,"8,860"
2022,Dec,Compost,C-Yardwaste,"17,060"
2022,Dec,Compost,C-Yardwaste,"15,820"
2022,Dec,Compost,C-Yardwaste,"15,360"
2022,Dec,Compost,C-Yardwaste,"12,840"
2022,Dec,Compost,C-Yardwaste,"9,240"
2022,Dec,Compost,C-Yardwaste,"8,860"
2022,Dec,Compost,C-Yardwaste,"17,060"
2022,Dec,Compost,C-Yardwaste,"15,820"
2022,Dec,Compost,C-Yardwaste,"15,360"
2022,Dec,Compost,C-Yardwaste,"12,840"
2022,Dec,Landfill,L-Landfill,"12,120"
2022,Dec,Landfill,L-Landfill,"12,980"
2022,Dec,Landfill,L-Landfill,"11,700"
2022,Dec,Landfill,L-Landfill,"13,900"
2022,Dec,Landfill,L-Landfill,"16,800"
2022,Dec,Landfill,L-Landfill,"7,500"
2022,Dec,Landfill,L-Landfill,"4,000"
2022,Dec,Recycle,R-Mixed recycling,"7,920"
2022,Dec,Recycle,R-Mixed recycling,"5,660"
2022,Dec,Recycle,R-Mixed recycling,"8,040"
2022,Dec,Recycle,R-Mixed recycling,"8,760"
2022,Dec,Recycle,R-Mixed recycling,"6,520"
2022,Dec,Recycle,R-Mixed recycling,"3,840"
2022,Dec,Recycle,R-Mixed recycling,"3,400"
2022,Dec,Compost,C-Yardwaste,"15,820"
2023,Mar,Recycle,R-Metal,"7,840"
2023,Apr,Recycle,R-Metal,"7,140"
2023,Apr,Recycle,R-Metal,"4,960"
2023,Jan,Landfill,L-Landfill,"10,220"
2023,Jan,Landfill,L-Landfill,"6,240"
2023,Jan,Landfill,L-Landfill,"12,340"
2023,Jan,Landfill,L-Landfill,"13,560"
2023,Jan,Landfill,L-Landfill,"17,120"
2023,Jan,Landfill,L-Landfill,"16,180"
2023,Jan,Landfill,L-Landfill,"14,980"
2023,Jan,Landfill,L-Landfill,"15,380"
2023,Jan,Compost,C-Yardwaste,"10,760"
2023,Jan,Compost,C-Yardwaste,"17,120"
2023,Jan,Compost,C-Yardwaste,"13,740"
2023,Jan,Compost,C-Yardwaste,"14,520"
2023,Jan,Compost,C-Yardwaste,"11,160"
2023,Jan,Recycle,R-Mixed recycling,"8,480"
2023,Jan,Recycle,R-Mixed recycling,"11,800"
2023,Jan,Recycle,R-Mixed recycling,"8,800"
2023,Jan,Recycle,R-Mixed recycling,"6,160"
2023,Jan,Recycle,R-Mixed recycling,"8,860"
2023,Jan,Recycle,R-Mixed recycling,"9,140"
2023,Jan,Recycle,R-Mixed recycling,"8,420"
2023,Jan,Recycle,R-Mixed recycling,"6,920"
2023,Feb,Compost,C-Foodscraps,"72,000"
2023,Feb,Compost,C-Organics,"48,600"
2023,Feb,Recycle,R-Mixed recycling,262
2023,Feb,Landfill,L-Landfill,"1,656"
2023,Feb,Compost,C-Yardwaste,"8,160"
2023,Feb,Compost,C-Yardwaste,"6,900"
2023,Feb,Compost,C-Yardwaste,"5,760"
2023,Feb,Compost,C-Yardwaste,"6,120"
2023,Feb,Compost,C-Yardwaste,"7,780"
2023,Feb,Landfill,L-Landfill,"17,900"
2023,Feb,Landfill,L-Landfill,"14,840"
2023,Feb,Landfill,L-Landfill,"14,380"
2023,Feb,Landfill,L-Landfill,"16,200"
2023,Feb,Landfill,L-Landfill,"14,460"
2023,Feb,Landfill,L-Landfill,"13,580"
2023,Feb,Landfill,L-Landfill,"12,740"
