Year,Month,Category,Material Type,Weight (lbs)
2024,Mar,Landfill,L-Landfill,"16,980"
2024,Mar,Landfill,L-Landfill,"12,940"
2024,Mar,Landfill,L-Landfill,"11,420"
2024,Mar,Landfill,L-Landfill,"16,020"
2024,Mar,Landfill,L-Landfill,"17,740"
2024,Mar,Landfill,L-Landfill,"15,160"
2024,Mar,Landfill,L-Landfill,"19,540"
2024,Mar,Landfill,L-Landfill,"18,340"
2024,Mar,Landfill,L-Landfill,"6,180"
2024,Mar,Landfill,L-Landfill,"9,860"
2024,Mar,Recycle,R-Mixed recycling,"7,740"
2024,Mar,Recycle,R-Mixed recycling,"7,540"
2024,Mar,Recycle,R-Mixed recycling,"7,740"
2024,Mar,Recycle,R-Mixed recycling,"7,300"
2024,Mar,Recycle,R-Mixed recycling,"7,420"
2024,Mar,Recycle,R-Mixed recycling,"6,280"
2024,Mar,Recycle,R-Mixed recycling,"4,160"
2024,Mar,Compost,C-Foodscraps,"72,000"
2024,Mar,Compost,C-Organics,"48,600"
2024,Mar,Recycle,R-Mixed recycling,262
2024,Mar,Landfill,L-Landfill,"1,656"
2024,Apr,Compost,C-Yardwaste,"7,840"
2024,Apr,Compost,C-Yardwaste,"12,880"
2024,Apr,Compost,C-Yardwaste,"11,260"
2024,Apr,Landfill,L-Landfill,"5,960"
2024,Apr,Landfill,L-Landfill,"12,260"
2024,Apr,Landfill,L-Landfill,"15,100"
2024,Apr,Landfill,L-Landfill,"15,380"
2024,Apr,Landfill,L-Landfill,"17,900"
2024,Apr,Landfill,L-Landfill,"15,240"
2024,Apr,Landfill,L-Landfill,"15,980"
2024,Apr,Landfill,L-Landfill,"16,380"
